release_date,rating_count,rating_avg,movieId,movieIdx
1995-10-30,247,3.97,1,0
1986-10-16,59,3.24,3,1
1995-12-22,13,2.46,4,2
1995-12-09,56,3.36,5,3
1995-12-15,53,3.34,7,4
1995-12-22,5,3.80,8,5
1995-12-22,20,3.15,9,6
1995-11-16,122,3.56,10,7
1977-05-25,82,3.78,11,8
2006-01-26,86,3.97,17,9
1927-01-10,92,2.71,19,10
1995-10-06,22,3.18,23,11
2004-07-16,7,3.14,27,12
1995-05-16,40,4.10,29,13
1995-12-23,10,4.10,30,14
1995-08-11,42,3.33,31,15
1995-12-29,196,4.01,32,16
1992-08-07,,,33,17
1995-07-18,148,3.68,34,18
2007-07-25,11,3.55,35,19
1995-12-29,104,3.98,36,20
1995-10-20,2,2.00,37,21
1995-07-19,120,3.63,39,22
1995-12-15,6,4.00,40,23
1995-12-29,23,4.04,41,24
1995-10-06,9,2.33,42,25
1995-12-29,12,3.67,43,26
1995-08-18,38,2.76,44,27
1995-05-20,43,3.58,45,28
1995-10-06,12,3.17,46,29
1995-09-22,201,4.16,47,30
1995-06-14,61,3.03,48,31
1995-05-05,2,4.00,49,32
1995-07-19,201,4.46,50,33
1995-09-13,51,3.69,52,34
1994-01-01,1,5.00,53,35
1995-09-29,3,3.67,54,36
2000-06-16,6,3.33,55,37
1995-11-02,14,3.14,57,38
2006-06-20,45,4.07,58,39
1995-07-14,32,2.91,60,40
1996-01-12,7,3.57,61,41
1968-04-10,87,3.82,62,42
2005-09-13,22,3.95,69,43
2004-12-15,48,3.15,70,44
1995-10-06,6,3.33,72,45
1996-12-12,,,75,46
1995-01-27,15,3.40,76,47
2000-10-11,2,4.00,77,48
1982-06-25,10,3.20,78,49
1996-02-02,26,2.96,79,50
1995-11-22,1,4.00,84,51
2006-02-10,17,3.76,86,52
1984-05-23,3,1.67,87,53
1987-08-21,23,3.00,88,54
1933-12-01,,,91,55
1998-08-12,12,3.58,92,56
1996-02-09,22,3.68,94,57
1998-07-01,93,3.24,95,58
1982-07-09,8,4.00,97,59
1999-04-19,4,2.75,99,60
1994-09-14,17,4.06,101,61
2002-09-06,11,2.64,102,62
1976-02-07,4,4.00,103,63
1998-08-20,94,3.40,104,64
1987-06-11,,,106,65
2000-09-01,27,3.48,107,66
1993-01-10,1,4.00,108,67
1994-01-26,2,2.00,109,68
1994-05-27,228,4.04,110,69
2000-12-07,49,3.35,112,70
2003-09-19,5,3.20,113,71
1990-03-23,1,3.00,114,72
2005-07-13,5,2.80,118,73
1995-09-29,1,3.00,119,74
2001-12-18,,,120,75
1978-11-15,7,4.00,123,76
1985-06-17,1,3.00,124,77
1996-03-22,21,3.76,125,78
1994-10-26,10,2.70,126,79
1987-01-10,,,127,80
2001-07-20,1,3.00,129,81
1995-01-01,1,5.00,130,82
1995-11-22,1,2.00,131,83
1960-01-01,,,133,84
1993-02-11,1,1.00,137,85
2004-03-19,23,3.48,140,86
2005-09-02,,,142,87
1930-04-29,,,143,88
1959-05-04,21,3.76,147,89
1995-04-13,48,3.62,151,90
1979-12-06,3,4.00,152,91
1982-06-03,16,3.81,154,92
2008-07-16,9,3.11,155,93
1984-05-31,8,2.38,157,94
1994-10-05,8,4.00,159,95
1896-01-25,63,2.41,160,96
1995-05-12,80,3.88,161,97
1990-12-05,33,4.18,162,98
2004-12-09,63,3.68,163,99
1961-10-05,26,3.58,164,100
1989-11-20,142,3.55,165,101
1980-01-01,4,3.00,166,102
1986-11-25,43,3.16,168,103
1982-12-08,6,4.33,171,104
1989-06-09,48,2.69,172,105
1991-12-05,4,2.25,174,106
1994-07-01,5,4.80,178,107
1995-06-30,15,1.80,181,108
1989-12-15,1,5.00,183,109
1997-12-24,2,4.50,184,110
1995-09-01,16,3.12,188,111
1995-06-23,6,3.83,190,112
1995-10-13,5,3.00,191,113
1994-11-17,35,2.43,193,114
2001-04-25,24,4.33,194,115
1990-05-25,55,2.85,196,116
1995-05-24,0,,197,117
1942-03-05,43,3.49,198,118
1995-11-02,4,3.00,202,119
2003-01-01,10,3.60,206,120
1989-06-02,28,3.43,207,121
1995-07-28,113,2.84,208,122
1995-12-01,5,2.60,209,123
2001-11-01,3,3.33,211,124
1944-09-23,,,212,125
2005-10-28,18,3.89,215,126
2006-03-16,4,4.25,219,127
1955-03-09,2,3.00,220,128
1955-10-27,,,221,129
1940-04-12,109,4.07,223,130
1977-02-25,35,3.63,224,131
1981-07-27,52,3.19,225,132
1983-03-25,16,3.19,227,133
1930-03-31,1,2.00,228,134
1995-03-24,25,3.72,230,135
1986-08-22,78,3.97,235,136
1994-09-29,60,3.43,236,137
2003-09-26,34,3.24,237,138
1972-03-14,5,3.00,238,139
1959-03-18,15,3.00,239,140
1994-08-25,4,3.50,241,141
1990-12-24,4,3.75,242,142
1990-07-12,1,3.00,251,143
1971-06-29,41,3.10,252,144
1995-03-31,4,3.00,254,145
1962-06-22,42,2.81,256,146
1995-02-17,13,3.62,257,147
1935-06-01,291,4.31,260,148
1994-02-18,1,3.00,263,149
1994-02-16,2,4.50,264,150
1981-01-14,62,3.92,265,151
1963-10-21,73,3.55,266,152
1997-10-28,13,2.85,267,153
1989-06-23,4,4.25,268,154
1994-06-08,3,3.67,269,155
1994-10-21,9,3.22,270,156
1984-12-20,4,3.50,271,157
1991-02-01,3,2.67,274,158
1996-04-05,5,2.80,275,159
1994-11-18,35,3.43,277,160
1994-09-23,5,3.00,278,161
1995-10-13,18,3.94,281,162
1994-12-23,44,3.32,282,163
1995-04-19,1,3.00,283,164
1960-06-15,0,,284,165
2006-10-03,,,286,166
1952-03-27,107,3.42,288,167
1991-08-01,16,4.00,290,168
2005-09-12,110,3.38,292,169
1995-04-28,4,3.00,295,170
2003-07-02,324,4.35,296,171
1960-02-17,16,3.75,299,172
2003-05-18,7,3.71,302,173
1995-03-01,3,3.33,304,174
1994-12-23,12,2.75,305,175
1998-05-20,3,5.00,309,176
2003-05-23,,,310,177
1996-12-18,5,3.60,312,178
2006-02-09,7,2.71,313,179
1965-08-06,44,3.00,315,180
2002-02-12,145,3.43,316,181
2006-03-01,70,3.03,317,182
2000-02-09,311,4.57,318,183
1993-09-14,4,2.75,320,184
1994-07-12,3,3.33,324,185
1995-09-08,1,3.00,325,186
1995-01-13,8,3.62,328,187
1993-06-11,114,3.40,329,188
1997-05-23,10,2.70,330,189
2001-07-18,6,3.00,331,190
2002-01-01,50,3.40,333,191
1999-12-08,14,3.07,334,192
2003-12-03,88,3.88,337,193
1991-10-03,101,3.55,339,194
1994-09-07,2,4.50,341,195
2004-09-02,56,3.52,342,196
1999-08-26,175,2.98,344,197
1954-04-26,6,3.00,346,198
1930-02-04,7,3.86,347,199
2005-03-30,115,3.83,349,200
1994-08-12,13,3.23,351,201
1994-05-13,7,3.43,352,202
1994-05-11,67,3.66,353,203
1994-12-02,2,3.50,354,204
1994-05-26,39,2.28,355,205
1994-07-06,341,4.15,356,206
1994-03-09,122,3.76,357,207
1995-01-11,7,2.43,358,208
1994-06-29,12,2.50,360,209
1994-07-29,25,3.44,361,210
1994-12-23,30,3.53,362,211
1992-06-19,200,3.88,364,212
1993-12-01,10,3.10,365,213
1994-10-13,11,3.27,366,214
1994-07-29,157,3.18,367,215
1994-05-20,71,3.61,368,216
